  2.75844E-03,  2.78454E-03,  2.80971E-03,  2.83389E-03,  2.85702E-03,  2.87906E-03,  2.89999E-03,  2.91978E-03,  2.93845E-03,  2.95602E-03,  2.97256E-03,  2.98814E-03,  3.00289E-03,  3.01695E-03,  3.03051E-03,  3.04379E-03,  3.05706E-03,  3.07060E-03,  3.08473E-03,  3.09981E-03,  3.11620E-03,  3.13426E-03,  3.15436E-03,  3.17685E-03,  3.20202E-03,  3.23012E-03,  3.26130E-03,  3.29564E-03,  3.33305E-03,  3.37333E-03,  3.41608E-03,  3.46075E-03,  3.50656E-03,  3.55257E-03,  3.59760E-03,  3.64033E-03,  3.67924E-03,  3.71269E-03,  3.73893E-03,  3.75619E-03,  3.76266E-03,  3.75662E-03,  3.73645E-03,  3.70069E-03,  3.64814E-03,  3.57782E-03,  3.48908E-03,  3.38159E-03,  3.25535E-03,  3.11069E-03,  2.94827E-03,  2.76905E-03,  2.57423E-03,  2.36527E-03,  2.14377E-03,  1.91150E-03,  1.67028E-03,  1.42201E-03,  1.16856E-03,  9.11772E-04,  6.53440E-04,  3.95251E-04,  1.38786E-04, -1.14499E-04, -3.63286E-04, -6.06394E-04, -8.42786E-04, -1.07157E-03, -1.29197E-03, -1.50338E-03, -1.70529E-03, -1.89731E-03, -2.07915E-03, -2.25065E-03, -2.41169E-03, -2.56228E-03, -2.70247E-03, -2.83237E-03, -2.95217E-03, -3.06208E-03, -3.16235E-03, -3.25329E-03, -3.33522E-03, -3.40846E-03, -3.47339E-03, -3.53036E-03, -3.57975E-03, -3.62194E-03, -3.65732E-03, -3.68625E-03, -3.70912E-03,
  2.85707E-03,  2.88560E-03,  2.91316E-03,  2.93966E-03,  2.96505E-03,  2.98925E-03,  3.01224E-03,  3.03400E-03,  3.05451E-03,  3.07380E-03,  3.09193E-03,  3.10899E-03,  3.12509E-03,  3.14040E-03,  3.15514E-03,  3.16955E-03,  3.18393E-03,  3.19863E-03,  3.21402E-03,  3.23053E-03,  3.24860E-03,  3.26869E-03,  3.29127E-03,  3.31679E-03,  3.34564E-03,  3.37819E-03,  3.41470E-03,  3.45531E-03,  3.50002E-03,  3.54866E-03,  3.60087E-03,  3.65606E-03,  3.71340E-03,  3.77183E-03,  3.83003E-03,  3.88646E-03,  3.93934E-03,  3.98676E-03,  4.02663E-03,  4.05681E-03,  4.07515E-03,  4.07956E-03,  4.06807E-03,  4.03891E-03,  3.99060E-03,  3.92196E-03,  3.83218E-03,  3.72086E-03,  3.58798E-03,  3.43397E-03,  3.25959E-03,  3.06601E-03,  2.85467E-03,  2.62729E-03,  2.38580E-03,  2.13227E-03,  1.86885E-03,  1.59773E-03,  1.32111E-03,  1.04111E-03,  7.59754E-04,  4.78971E-04,  2.00533E-04, -7.39401E-05, -3.42992E-04, -6.05335E-04, -8.59850E-04, -1.10558E-03, -1.34174E-03, -1.56767E-03, -1.78288E-03, -1.98697E-03, -2.17971E-03, -2.36094E-03, -2.53060E-03, -2.68873E-03, -2.83544E-03, -2.97091E-03, -3.09536E-03, -3.20906E-03, -3.31235E-03, -3.40557E-03, -3.48909E-03, -3.56331E-03, -3.62865E-03, -3.68552E-03, -3.73435E-03, -3.77556E-03, -3.80958E-03, -3.83683E-03, -3.85773E-03,
  2.95999E-03,  2.99118E-03,  3.02133E-03,  3.05037E-03,  3.07821E-03,  3.10477E-03,  3.13001E-03,  3.15388E-03,  3.17638E-03,  3.19751E-03,  3.21732E-03,  3.23590E-03,  3.25337E-03,  3.26992E-03,  3.28578E-03,  3.30122E-03,  3.31658E-03,  3.33228E-03,  3.34874E-03,  3.36648E-03,  3.38604E-03,  3.40798E-03,  3.43289E-03,  3.46135E-03,  3.49390E-03,  3.53102E-03,  3.57310E-03,  3.62041E-03,  3.67306E-03,  3.73094E-03,  3.79372E-03,  3.86081E-03,  3.93134E-03,  4.00411E-03,  4.07764E-03,  4.15014E-03,  4.21956E-03,  4.28361E-03,  4.33983E-03,  4.38564E-03,  4.41845E-03,  4.43570E-03,  4.43501E-03,  4.41423E-03,  4.37152E-03,  4.30545E-03,  4.21504E-03,  4.09977E-03,  3.95965E-03,  3.79516E-03,  3.60728E-03,  3.39737E-03,  3.16721E-03,  2.91885E-03,  2.65459E-03,  2.37688E-03,  2.08826E-03,  1.79130E-03,  1.48855E-03,  1.18244E-03,  8.75307E-04,  5.69318E-04,  2.66468E-04, -3.14447E-05, -3.22818E-04, -6.06255E-04, -8.80554E-04, -1.14471E-03, -1.39789E-03, -1.63944E-03, -1.86887E-03, -2.08583E-03, -2.29008E-03, -2.48153E-03, -2.66018E-03, -2.82612E-03, -2.97952E-03, -3.12061E-03, -3.24971E-03, -3.36714E-03, -3.47331E-03, -3.56862E-03, -3.65351E-03, -3.72845E-03, -3.79391E-03, -3.85036E-03, -3.89829E-03, -3.93817E-03, -3.97048E-03, -3.99568E-03, -4.01424E-03,
  3.06746E-03,  3.10154E-03,  3.13454E-03,  3.16635E-03,  3.19687E-03,  3.22602E-03,  3.25371E-03,  3.27990E-03,  3.30454E-03,  3.32763E-03,  3.34923E-03,  3.36940E-03,  3.38827E-03,  3.40603E-03,  3.42293E-03,  3.43928E-03,  3.45547E-03,  3.47194E-03,  3.48923E-03,  3.50793E-03,  3.52869E-03,  3.55221E-03,  3.57921E-03,  3.61042E-03,  3.64656E-03,  3.68827E-03,  3.73612E-03,  3.79053E-03,  3.85173E-03,  3.91974E-03,  3.99430E-03,  4.07482E-03,  4.16038E-03,  4.24969E-03,  4.34105E-03,  4.43242E-03,  4.52140E-03,  4.60529E-03,  4.68112E-03,  4.74582E-03,  4.79623E-03,  4.82926E-03,  4.84197E-03,  4.83174E-03,  4.79632E-03,  4.73393E-03,  4.64339E-03,  4.52406E-03,  4.37595E-03,  4.19967E-03,  3.99640E-03,  3.76784E-03,  3.51611E-03,  3.24371E-03,  2.95339E-03,  2.64807E-03,  2.33076E-03,  2.00448E-03,  1.67217E-03,  1.33665E-03,  1.00060E-03,  6.66451E-04,  3.36452E-04,  1.25929E-05, -3.03375E-04, -6.09940E-04, -9.05825E-04, -1.18997E-03, -1.46154E-03, -1.71988E-03, -1.96450E-03, -2.19510E-03, -2.41150E-03, -2.61366E-03, -2.80164E-03, -2.97562E-03, -3.13582E-03, -3.28258E-03, -3.41627E-03, -3.53731E-03, -3.64616E-03, -3.74332E-03, -3.82931E-03, -3.90465E-03, -3.96988E-03, -4.02554E-03, -4.07218E-03, -4.11033E-03, -4.14052E-03, -4.16327E-03, -4.17908E-03,
  3.17974E-03,  3.21699E-03,  3.25310E-03,  3.28797E-03,  3.32145E-03,  3.35343E-03,  3.38382E-03,  3.41253E-03,  3.43952E-03,  3.46475E-03,  3.48825E-03,  3.51009E-03,  3.53039E-03,  3.54934E-03,  3.56720E-03,  3.58431E-03,  3.60111E-03,  3.61811E-03,  3.63590E-03,  3.65521E-03,  3.67678E-03,  3.70148E-03,  3.73019E-03,  3.76384E-03,  3.80334E-03,  3.84955E-03,  3.90324E-03,  3.96505E-03,  4.03540E-03,  4.11445E-03,  4.20205E-03,  4.29767E-03,  4.40035E-03,  4.50869E-03,  4.62079E-03,  4.73431E-03,  4.84643E-03,  4.95395E-03,  5.05335E-03,  5.14089E-03,  5.21274E-03,  5.26511E-03,  5.29442E-03,  5.29742E-03,  5.27134E-03,  5.21402E-03,  5.12397E-03,  5.00044E-03,  4.84345E-03,  4.65378E-03,  4.43287E-03,  4.18282E-03,  3.90624E-03,  3.60615E-03,  3.28588E-03,  2.94890E-03,  2.59881E-03,  2.23913E-03,  1.87331E-03,  1.50460E-03,  1.13605E-03,  7.70415E-04,  4.10203E-04,  5.76114E-05, -2.85453E-04, -6.17369E-04, -9.36788E-04, -1.24262E-03, -1.53402E-03, -1.81034E-03, -2.07116E-03, -2.31620E-03, -2.54537E-03, -2.75870E-03, -2.95633E-03, -3.13853E-03, -3.30562E-03, -3.45801E-03, -3.59618E-03, -3.72063E-03, -3.83193E-03, -3.93064E-03, -4.01737E-03, -4.09273E-03, -4.15732E-03, -4.21177E-03, -4.25668E-03, -4.29265E-03, -4.32026E-03, -4.34009E-03, -4.35270E-03,
  3.29711E-03,  3.33783E-03,  3.37739E-03,  3.41561E-03,  3.45235E-03,  3.48748E-03,  3.52085E-03,  3.55235E-03,  3.58192E-03,  3.60949E-03,  3.63505E-03,  3.65867E-03,  3.68044E-03,  3.70056E-03,  3.71929E-03,  3.73700E-03,  3.75416E-03,  3.77135E-03,  3.78925E-03,  3.80869E-03,  3.83057E-03,  3.85592E-03,  3.88581E-03,  3.92141E-03,  3.96386E-03,  4.01430E-03,  4.07378E-03,  4.14317E-03,  4.22317E-03,  4.31415E-03,  4.41611E-03,  4.52863E-03,  4.65075E-03,  4.78097E-03,  4.91718E-03,  5.05668E-03,  5.19619E-03,  5.33192E-03,  5.45963E-03,  5.57481E-03,  5.67277E-03,  5.74888E-03,  5.79871E-03,  5.81825E-03,  5.80409E-03,  5.75353E-03,  5.66475E-03,  5.53686E-03,  5.36990E-03,  5.16485E-03,  4.92355E-03,  4.64860E-03,  4.34319E-03,  4.01104E-03,  3.65616E-03,  3.28275E-03,  2.89505E-03,  2.49725E-03,  2.09334E-03,  1.68710E-03,  1.28197E-03,  8.81099E-04,  4.87249E-04,  1.02838E-04, -2.70069E-04, -6.29750E-04, -9.74802E-04, -1.30412E-03, -1.61685E-03, -1.91242E-03, -2.19044E-03, -2.45073E-03, -2.69327E-03, -2.91819E-03, -3.12575E-03, -3.31629E-03, -3.49028E-03, -3.64822E-03, -3.79068E-03, -3.91830E-03, -4.03171E-03, -4.13160E-03, -4.21866E-03, -4.29358E-03, -4.35706E-03, -4.40979E-03, -4.45246E-03, -4.48573E-03, -4.51025E-03, -4.52665E-03, -4.53554E-03,
  3.41986E-03,  3.46442E-03,  3.50776E-03,  3.54970E-03,  3.59007E-03,  3.62868E-03,  3.66537E-03,  3.69999E-03,  3.73241E-03,  3.76257E-03,  3.79040E-03,  3.81593E-03,  3.83925E-03,  3.86053E-03,  3.88004E-03,  3.89816E-03,  3.91539E-03,  3.93238E-03,  3.94990E-03,  3.96889E-03,  3.99043E-03,  4.01571E-03,  4.04606E-03,  4.08290E-03,  4.12769E-03,  4.18187E-03,  4.24684E-03,  4.32383E-03,  4.41385E-03,  4.51757E-03,  4.63524E-03,  4.76658E-03,  4.91070E-03,  5.06602E-03,  5.23022E-03,  5.40021E-03,  5.57216E-03,  5.74157E-03,  5.90336E-03,  6.05203E-03,  6.18184E-03,  6.28709E-03,  6.36230E-03,  6.40249E-03,  6.40340E-03,  6.36171E-03,  6.27516E-03,  6.14269E-03,  5.96440E-03,  5.74155E-03,  5.47648E-03,  5.17242E-03,  4.83338E-03,  4.46389E-03,  4.06885E-03,  3.65331E-03,  3.22235E-03,  2.78090E-03,  2.33362E-03,  1.88485E-03,  1.43853E-03,  9.98183E-04,  5.66874E-04,  1.47238E-04, -2.58514E-04, -6.48574E-04, -1.02150E-03, -1.37619E-03, -1.71184E-03, -2.02794E-03, -2.32418E-03, -2.60049E-03, -2.85697E-03, -3.09386E-03, -3.31155E-03, -3.51051E-03, -3.69133E-03, -3.85463E-03, -4.00113E-03, -4.13156E-03, -4.24669E-03, -4.34729E-03, -4.43417E-03, -4.50813E-03, -4.56994E-03, -4.62039E-03, -4.66024E-03, -4.69023E-03, -4.71108E-03, -4.72348E-03, -4.72809E-03,
  3.54831E-03,  3.59709E-03,  3.64462E-03,  3.69070E-03,  3.73510E-03,  3.77761E-03,  3.81801E-03,  3.85612E-03,  3.89176E-03,  3.92480E-03,  3.95515E-03,  3.98280E-03,  4.00778E-03,  4.03024E-03,  4.05044E-03,  4.06876E-03,  4.08574E-03,  4.10207E-03,  4.11862E-03,  4.13645E-03,  4.15681E-03,  4.18112E-03,  4.21097E-03,  4.24808E-03,  4.29429E-03,  4.35143E-03,  4.42133E-03,  4.50566E-03,  4.60586E-03,  4.72300E-03,  4.85768E-03,  5.00987E-03,  5.17880E-03,  5.36286E-03,  5.55951E-03,  5.76526E-03,  5.97566E-03,  6.18534E-03,  6.38819E-03,  6.57750E-03,  6.74624E-03,  6.88733E-03,  6.99393E-03,  7.05986E-03,  7.07978E-03,  7.04957E-03,  6.96643E-03,  6.82909E-03,  6.63774E-03,  6.39406E-03,  6.10102E-03,  5.76273E-03,  5.38417E-03,  4.97096E-03,  4.52907E-03,  4.06465E-03,  3.58374E-03,  3.09217E-03,  2.59539E-03,  2.09839E-03,  1.60564E-03,  1.12107E-03,  6.48055E-04,  1.89448E-04, -2.52414E-04, -6.75657E-04, -1.07884E-03, -1.46089E-03, -1.82108E-03, -2.15900E-03, -2.47447E-03, -2.76755E-03, -3.03847E-03, -3.28764E-03, -3.51558E-03, -3.72294E-03, -3.91042E-03, -4.07883E-03, -4.22900E-03, -4.36180E-03, -4.47813E-03, -4.57890E-03, -4.66501E-03, -4.73737E-03, -4.79687E-03, -4.84439E-03, -4.88077E-03, -4.90682E-03, -4.92335E-03, -4.93111E-03, -4.93082E-03,
  3.68275E-03,  3.73621E-03,  3.78840E-03,  3.83909E-03,  3.88800E-03,  3.93488E-03,  3.97947E-03,  4.02152E-03,  4.06080E-03,  4.09711E-03,  4.13031E-03,  4.16032E-03,  4.18712E-03,  4.21083E-03,  4.23165E-03,  4.24998E-03,  4.26635E-03,  4.28150E-03,  4.29639E-03,  4.31220E-03,  4.33036E-03,  4.35254E-03,  4.38063E-03,  4.41673E-03,  4.46308E-03,  4.52203E-03,  4.59591E-03,  4.68697E-03,  4.79720E-03,  4.92822E-03,  5.08110E-03,  5.25618E-03,  5.45293E-03,  5.66979E-03,  5.90404E-03,  6.15173E-03,  6.40770E-03,  6.66559E-03,  6.91801E-03,  7.15677E-03,  7.37316E-03,  7.55838E-03,  7.70391E-03,  7.80193E-03,  7.84578E-03,  7.83028E-03,  7.75199E-03,  7.60935E-03,  7.40276E-03,  7.13442E-03,  6.80818E-03,  6.42928E-03,  6.00398E-03,  5.53927E-03,  5.04250E-03,  4.52111E-03,  3.98236E-03,  3.43313E-03,  2.87977E-03,  2.32800E-03,  1.78289E-03,  1.24878E-03,  7.29374E-04,  2.27701E-04, -2.53793E-04, -7.13212E-04, -1.14914E-03, -1.56061E-03, -1.94700E-03, -2.30803E-03, -2.64369E-03, -2.95421E-03, -3.24001E-03, -3.50167E-03, -3.73990E-03, -3.95551E-03, -4.14939E-03, -4.32252E-03, -4.47587E-03, -4.61049E-03, -4.72740E-03, -4.82767E-03, -4.91231E-03, -4.98236E-03, -5.03882E-03, -5.08265E-03, -5.11481E-03, -5.13620E-03, -5.14768E-03, -5.15009E-03, -5.14421E-03,
  3.82353E-03,  3.88216E-03,  3.93954E-03,  3.99537E-03,  4.04935E-03,  4.10117E-03,  4.15050E-03,  4.19703E-03,  4.24046E-03,  4.28052E-03,  4.31699E-03,  4.34970E-03,  4.37858E-03,  4.40365E-03,  4.42508E-03,  4.44323E-03,  4.45861E-03,  4.47200E-03,  4.48442E-03,  4.49720E-03,  4.51193E-03,  4.53055E-03,  4.55529E-03,  4.58867E-03,  4.63345E-03,  4.69255E-03,  4.76897E-03,  4.86566E-03,  4.98533E-03,  5.13032E-03,  5.30236E-03,  5.50233E-03,  5.73010E-03,  5.98424E-03,  6.26194E-03,  6.55880E-03,  6.86883E-03,  7.18450E-03,  7.49687E-03,  7.79590E-03,  8.07080E-03,  8.31053E-03,  8.50438E-03,  8.64248E-03,  8.71642E-03,  8.71967E-03,  8.64794E-03,  8.49941E-03,  8.27472E-03,  7.97685E-03,  7.61083E-03,  7.18337E-03,  6.70243E-03,  6.17672E-03,  5.61535E-03,  5.02735E-03,  4.42143E-03,  3.80571E-03,  3.18759E-03,  2.57361E-03,  1.96944E-03,  1.37989E-03,  8.08924E-04,  2.59742E-04, -2.65159E-04, -7.63910E-04, -1.23519E-03, -1.67816E-03, -2.09239E-03, -2.47777E-03, -2.83453E-03, -3.16308E-03, -3.46409E-03, -3.73833E-03, -3.98674E-03, -4.21034E-03, -4.41023E-03, -4.58754E-03, -4.74347E-03, -4.87922E-03, -4.99597E-03, -5.09494E-03, -5.17730E-03, -5.24420E-03, -5.29676E-03, -5.33607E-03, -5.36318E-03, -5.37907E-03, -5.38471E-03, -5.38098E-03, -5.36876E-03,
